GEO_ID,Zip Code,ucgid,County,County Code,State Number,State,Year,CENSUS_Category,Population,Variable Code,Label,Type,Category,Detail
860Z200US99775,99775,860Z200US99775,Fairbanks North Star Borough,0500000US02090,02,Alaska,2023,S1901_C01_001E,136,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99827,99827,860Z200US99827,Haines Borough,0500000US02100,02,Alaska,2023,S1901_C01_001E,943,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99850,99850,860Z200US99850,Haines Borough,0500000US02100,02,Alaska,2023,S1901_C01_001E,0,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99820,99820,860Z200US99820,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,177,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99825,99825,860Z200US99825,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,7,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99826,99826,860Z200US99826,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,262,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99827,99827,860Z200US99827,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,943,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99829,99829,860Z200US99829,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,284,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99832,99832,860Z200US99832,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,37,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99841,99841,860Z200US99841,Hoonah-Angoon Census Area,0500000US02105,02,Alaska,2023,S1901_C01_001E,111,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99801,99801,860Z200US99801,Juneau City and Borough,0500000US02110,02,Alaska,2023,S1901_C01_001E,12106,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99824,99824,860Z200US99824,Juneau City and Borough,0500000US02110,02,Alaska,2023,S1901_C01_001E,1032,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99556,99556,860Z200US99556,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,1289,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99568,99568,860Z200US99568,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,207,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99572,99572,860Z200US99572,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,114,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99603,99603,860Z200US99603,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,4599,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99605,99605,860Z200US99605,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,29,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99610,99610,860Z200US99610,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,963,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99611,99611,860Z200US99611,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,5808,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99631,99631,860Z200US99631,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,42,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99635,99635,860Z200US99635,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,0,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99639,99639,860Z200US99639,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,569,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99663,99663,860Z200US99663,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,176,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99664,99664,860Z200US99664,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,1633,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99669,99669,860Z200US99669,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,6604,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99672,99672,860Z200US99672,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,1771,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99682,99682,860Z200US99682,Kenai Peninsula Borough,0500000US02122,02,Alaska,2023,S1901_C01_001E,98,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99901,99901,860Z200US99901,Ketchikan Gateway Borough,0500000US02130,02,Alaska,2023,S1901_C01_001E,5621,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99550,99550,860Z200US99550,Kodiak Island Borough,0500000US02150,02,Alaska,2023,S1901_C01_001E,80,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99608,99608,860Z200US99608,Kodiak Island Borough,0500000US02150,02,Alaska,2023,S1901_C01_001E,9,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99615,99615,860Z200US99615,Kodiak Island Borough,0500000US02150,02,Alaska,2023,S1901_C01_001E,4333,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99624,99624,860Z200US99624,Kodiak Island Borough,0500000US02150,02,Alaska,2023,S1901_C01_001E,33,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99643,99643,860Z200US99643,Kodiak Island Borough,0500000US02150,02,Alaska,2023,S1901_C01_001E,91,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99644,99644,860Z200US99644,Kodiak Island Borough,0500000US02150,02,Alaska,2023,S1901_C01_001E,62,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99554,99554,860Z200US99554,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,222,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99563,99563,860Z200US99563,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,104,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99581,99581,860Z200US99581,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,250,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99585,99585,860Z200US99585,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,79,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99604,99604,860Z200US99604,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,196,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99620,99620,860Z200US99620,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,231,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99632,99632,860Z200US99632,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,200,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
860Z200US99650,99650,860Z200US99650,Kusilvak Census Area,0500000US02158,02,Alaska,2023,S1901_C01_001E,121,S1901_C01_001E,Estimate!!Households!!Total,Households,SUMMARY INDICATORS,Total
